2015-08-24 10:20:39,851 [5] INFO  Umbraco.Web.UmbracoModule - [T7/D9] Setting OriginalRequestUrl: localhost:8964/umbraco
2015-08-24 10:20:39,944 [5] INFO  umbraco.content - [T7/D9] Load Xml from file...
2015-08-24 10:20:39,946 [5] INFO  umbraco.content - [T7/D9] Loaded Xml from file.
2015-08-24 10:20:40,048 [5] INFO  Umbraco.Core.PluginManager - [T7/D9] Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
2015-08-24 10:20:40,053 [5] INFO  Umbraco.Core.PluginManager - [T7/D9] Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 23 (took 4ms)
2015-08-24 10:20:40,693 [5] INFO  Umbraco.Core.PluginManager - [T7/D9] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-08-24 10:20:40,699 [5] INFO  Umbraco.Core.PluginManager - [T7/D9] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 5ms)
2015-08-24 10:21:42,187 [5] INFO  umbraco.BusinessLogic.Log - [T9/D9] Log scrubbed.  Removed all items older than 2015-06-25 10:21:42
2015-08-24 10:21:48,444 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [XmlCacheFilePersister] Terminating
2015-08-24 10:21:48,444 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [XmlCacheFilePersister] Waiting for tasks to complete
2015-08-24 10:21:48,455 [5] INFO  umbraco.content - [T19/D9] Save Xml to file...
2015-08-24 10:21:48,463 [5] INFO  umbraco.content - [T32/D9] Saved Xml to file.
2015-08-24 10:21:48,464 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T28/D9] [XmlCacheFilePersister] Tasks completed, terminated
2015-08-24 10:21:48,564 [5] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T18/D9] [LogScrubber] Terminating
